YCH4,DavidsonSU2,DavidsonStandalone,WilkeSU2,WilkeStandalone
0.931583405,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.930767775,1.13E-05,1.13E-05,1.13E-05,0.00001131
0.929952204,1.13E-05,0.00001127,1.13E-05,1.13E-05
0.929136574,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.928321004,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.927505374,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.926689744,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.925874174,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.925058544,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.924242914,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.923427284,1.13E-05,1.13E-05,1.13E-05,0.000011345
0.922611713,1.13E-05,1.13E-05,1.13E-05,1.13E-05
0.921796083,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.920980453,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.920164883,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.919349253,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.918533623,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.917718053,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.916902423,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.916086853,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.915271223,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.914455593,1.13E-05,1.13E-05,1.14E-05,0.000011388
0.913639963,1.13E-05,0.000011338,1.14E-05,1.14E-05
0.912824392,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.912008762,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.911193132,1.13E-05,1.13E-05,1.14E-05,1.14E-05
0.910377562,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.909561932,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.908746302,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.907930732,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.907115102,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.906299472,1.14E-05,0.000011369,1.14E-05,1.14E-05
0.905483902,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.904668272,1.14E-05,0.000011376,1.14E-05,1.14E-05
0.903852642,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.903037071,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.902221441,1.14E-05,1.14E-05,1.14E-05,1.14E-05
0.901405811,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.900590241,1.14E-05,1.14E-05,1.15E-05,0.000011455
0.899774611,1.14E-05,1.14E-05,1.15E-05,0.000011459
0.898958981,1.14E-05,1.14E-05,1.15E-05,0.000011463
0.898143411,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.897327781,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.896512151,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.895696521,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89488095,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89406532,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89324975,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89243412,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89161849,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.89080292,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.88998729,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.888884962,1.14E-05,1.14E-05,1.15E-05,1.15E-05
0.887700677,1.14E-05,1.14E-05,1.15E-05,0.000011518
0.886516333,1.15E-05,1.15E-05,1.15E-05,1.15E-05
0.885332108,1.15E-05,1.15E-05,1.15E-05,1.15E-05
0.884147823,1.15E-05,0.000011464,1.15E-05,1.15E-05
0.882963538,1.15E-05,1.15E-05,1.15E-05,1.15E-05
0.881779253,1.15E-05,1.15E-05,1.15E-05,1.15E-05
0.880594969,1.15E-05,1.15E-05,1.16E-05,0.000011553
0.879410684,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.878226399,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.877042115,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.87585783,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.874673545,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.873489261,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.872304976,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.871120691,1.15E-05,1.15E-05,1.16E-05,0.0000116
0.869936407,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.868752122,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.867567897,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.866383612,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.865199327,1.15E-05,1.15E-05,1.16E-05,1.16E-05
0.864015043,1.16E-05,1.16E-05,1.16E-05,1.16E-05
0.862830758,1.16E-05,1.16E-05,1.16E-05,1.16E-05
0.861646473,1.16E-05,1.16E-05,1.16E-05,1.16E-05
0.860462189,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.859277904,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.858093619,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.856909335,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.85572505,1.16E-05,0.000011589,1.17E-05,1.17E-05
0.854540765,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.853356481,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.852172196,1.16E-05,1.16E-05,1.17E-05,0.000011695
0.850987911,1.16E-05,1.16E-05,1.17E-05,0.000011701
0.849803686,1.16E-05,1.16E-05,1.17E-05,0.000011707
0.848619401,1.16E-05,1.16E-05,1.17E-05,0.000011713
0.847435057,1.16E-05,1.16E-05,1.17E-05,0.000011719
0.846250772,1.16E-05,1.16E-05,1.17E-05,0.000011725
0.845066547,1.16E-05,1.16E-05,1.17E-05,0.000011731
0.843882263,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.842697978,1.16E-05,1.16E-05,1.17E-05,1.17E-05
0.841513693,1.17E-05,1.17E-05,1.18E-05,1.17E-05
0.840329409,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.839145124,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.837960839,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.836776555,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.83559227,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.834407985,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.833223701,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.832039416,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.830855131,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.829670846,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.828486562,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.827302337,1.17E-05,1.17E-05,1.18E-05,0.000011822
0.826118052,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.824933767,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.823666871,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.822110951,1.17E-05,1.17E-05,1.18E-05,1.18E-05
0.820554972,1.17E-05,0.000011749,1.19E-05,1.19E-05
0.818998992,1.18E-05,1.18E-05,1.19E-05,0.000011865
0.817443073,1.18E-05,1.18E-05,1.19E-05,0.000011873
0.815887153,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.814331174,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.812775254,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.811219275,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.809663355,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.808107376,1.18E-05,0.000011807,1.19E-05,1.19E-05
0.806551456,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.804995537,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.803439558,1.18E-05,1.18E-05,1.19E-05,1.19E-05
0.801883578,1.18E-05,1.18E-05,1.20E-05,1.20E-05
0.800327659,1.18E-05,1.18E-05,1.20E-05,1.20E-05
0.798771679,1.19E-05,0.000011851,1.20E-05,1.20E-05
0.79721576,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.79565984,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.794103861,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.792547941,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.790991962,1.19E-05,0.000011888,1.20E-05,0.000012012
0.789436042,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.787880063,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.786324084,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.784768164,1.19E-05,1.19E-05,1.20E-05,1.20E-05
0.783212245,1.19E-05,1.19E-05,1.21E-05,1.21E-05
0.781656265,1.19E-05,1.19E-05,1.21E-05,1.21E-05
0.780100346,1.19E-05,1.19E-05,1.21E-05,1.21E-05
0.778544366,1.20E-05,1.19E-05,1.21E-05,1.21E-05
0.776988447,1.20E-05,1.20E-05,1.21E-05,1.21E-05
0.775432467,1.20E-05,0.000011963,1.21E-05,1.21E-05
0.773876548,1.20E-05,1.20E-05,1.21E-05,1.21E-05
0.772320628,1.20E-05,1.20E-05,1.21E-05,0.000012112
0.770764649,1.20E-05,1.20E-05,1.21E-05,1.21E-05
0.76920867,1.20E-05,1.20E-05,1.21E-05,1.21E-05
0.76765275,1.20E-05,0.000012001,1.21E-05,1.21E-05
0.766096771,1.20E-05,1.20E-05,1.21E-05,1.21E-05
0.764540851,1.20E-05,1.20E-05,1.22E-05,1.22E-05
0.762984872,1.20E-05,1.20E-05,1.22E-05,1.22E-05
0.761428952,1.20E-05,1.20E-05,1.22E-05,0.000012171
0.759873033,1.20E-05,1.20E-05,1.22E-05,1.22E-05
0.758317053,1.21E-05,0.000012047,1.22E-05,0.000012188
0.756761134,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.755205154,1.21E-05,1.21E-05,1.22E-05,0.000012205
0.753649235,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.752093256,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.750537336,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.748981357,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.747425437,1.21E-05,1.21E-05,1.22E-05,1.22E-05
0.745869458,1.21E-05,0.000012109,1.23E-05,1.23E-05
0.744313478,1.21E-05,1.21E-05,1.23E-05,1.23E-05
0.742757559,1.21E-05,1.21E-05,1.23E-05,1.23E-05
0.74120158,1.21E-05,1.21E-05,1.23E-05,1.23E-05
0.73964572,1.21E-05,1.21E-05,1.23E-05,1.23E-05
0.73808974,1.21E-05,1.21E-05,1.23E-05,1.23E-05
0.736336708,1.22E-05,1.22E-05,1.23E-05,1.23E-05
0.73448509,1.22E-05,1.22E-05,1.23E-05,1.23E-05
0.732633531,1.22E-05,1.22E-05,1.23E-05,1.23E-05
0.730781913,1.22E-05,1.22E-05,1.23E-05,1.23E-05
0.728930354,1.22E-05,1.22E-05,1.24E-05,1.24E-05
0.727078736,1.22E-05,1.22E-05,1.24E-05,1.24E-05
0.725227118,1.22E-05,1.22E-05,1.24E-05,1.24E-05
0.723375618,1.22E-05,1.22E-05,1.24E-05,1.24E-05
0.721524,1.22E-05,1.22E-05,1.24E-05,0.000012392
0.719672441,1.22E-05,1.22E-05,1.24E-05,1.24E-05
0.717820823,1.23E-05,1.23E-05,1.24E-05,1.24E-05
0.715969265,1.23E-05,1.23E-05,1.24E-05,1.24E-05
0.714117646,1.23E-05,1.23E-05,1.24E-05,1.24E-05
0.712266088,1.23E-05,1.23E-05,1.24E-05,1.24E-05
0.710414469,1.23E-05,1.23E-05,1.25E-05,1.25E-05
0.708562911,1.23E-05,0.0000123,1.25E-05,1.25E-05
0.706711292,1.23E-05,1.23E-05,1.25E-05,1.25E-05
